,cartodb_id,geometry,highway_length,zipcode
0,106,"MULTIPOLYGON (((-73.863293 40.89529, -73.862875 40.895154, -73.862139 40.894914, -73.861825 40.894812, -73.862556 40.894147, -73.86342500000001 40.893374, -73.863934 40.892893, -73.869479 40.880128, -73.870148 40.878314, -73.870096 40.878292, -73.86962800000001 40.878176, -73.869435 40.878129, -73.869202 40.878443, -73.868846 40.878586, -73.86811899999999 40.880062, -73.867053 40.882255, -73.865982 40.884391, -73.86607100000001 40.884509, -73.86614899999999 40.884643, -73.866208 40.884785, -73.866248 40.884931, -73.866265 40.885079, -73.86626200000001 40.885234, -73.866235 40.885387, -73.86622 40.885442, -73.86538 40.886884, -73.86450499999999 40.886608, -73.86163999999999 40.885693, -73.85876 40.884777, -73.855884 40.883861, -73.85627599999999 40.883155, -73.856667 40.882448, -73.857056 40.881745, -73.857445 40.881041, -73.85783499999999 40.880335, -73.858222 40.879637, -73.8586 40.878954, -73.858924 40.878366, -73.859278 40.877728, -73.859752 40.876861, -73.860077 40.876278, -73.860512 40.875494, -73.861135 40.874477, -73.861306 40.873673, -73.861321 40.873123, -73.861345 40.872525, -73.86136500000001 40.871819, -73.861379 40.871336, -73.86143300000001 40.869603, -73.861498 40.867782, -73.861694 40.867794, -73.861503 40.867552, -73.861542 40.866154, -73.862371 40.865531, -73.862583 40.865373, -73.86265400000001 40.863126, -73.861645 40.863106, -73.861707 40.861242, -73.861756 40.859645, -73.861791 40.857983, -73.861784 40.857386, -73.867614 40.857237, -73.868859 40.857225, -73.869327 40.856647, -73.87155300000001 40.856405, -73.871796 40.856342, -73.871602 40.856193, -73.871385 40.856077, -73.871256 40.855928, -73.87114099999999 40.855756, -73.871185 40.855575, -73.871252 40.855444, -73.87138 40.855363, -73.871555 40.855265, -73.871815 40.855199, -73.872119 40.855234, -73.872366 40.855322, -73.872479 40.855572, -73.87263799999999 40.856076, -73.873479 40.855866, -73.874436 40.85575, -73.875394 40.855635, -73.876766 40.855459, -73.876757 40.858162, -73.87663999999999 40.859598, -73.87662 40.859851, -73.87392699999999 40.863067, -73.875089 40.866194, -73.875641 40.866223, -73.876132 40.866405, -73.877531 40.866998, -73.87777699999999 40.867046, -73.877951 40.867021, -73.878153 40.866926, -73.878529 40.866813, -73.878732 40.866809, -73.878877 40.866853, -73.87938 40.867125, -73.879554 40.867152, -73.88064300000001 40.866427, -73.880841 40.866256, -73.881153 40.865965, -73.88126200000001 40.866064, -73.88141 40.866226, -73.88154900000001 40.866454, -73.881039 40.866689, -73.88096899999999 40.866787, -73.88086199999999 40.866909, -73.88074400000001 40.867016, -73.880602 40.867119, -73.880456 40.867205, -73.880281 40.867286, -73.88009700000001 40.867351, -73.880027 40.867369, -73.879549 40.867719, -73.87911 40.86803, -73.879197 40.867988, -73.879288 40.867962, -73.87938699999999 40.867951, -73.87947699999999 40.867955, -73.879554 40.86797, -73.87965199999999 40.868004, -73.879738 40.868057, -73.87985999999999 40.868274, -73.880375 40.869194, -73.880911 40.870488, -73.881142 40.870844, -73.881754 40.872349, -73.881274 40.872586, -73.88152599999999 40.873153, -73.88176 40.873726, -73.881957 40.874247, -73.882144 40.874788, -73.882311 40.875315, -73.88247200000001 40.875876, -73.88257400000001 40.876271, -73.88364199999999 40.87744, -73.884112 40.878264, -73.884229 40.878722, -73.884332 40.87934, -73.88466099999999 40.879749, -73.885694 40.880687, -73.885801 40.88103, -73.885932 40.881386, -73.88608600000001 40.881744, -73.886241 40.88206, -73.886405 40.88236, -73.886415 40.882377, -73.88703 40.883889, -73.88707100000001 40.8844, -73.88692500000001 40.885107, -73.887715 40.889157, -73.88703700000001 40.889453, -73.886966 40.889684, -73.886894 40.889914, -73.882964 40.893871, -73.88010800000001 40.895195, -73.87712000000001 40.895469, -73.87572400000001 40.895623, -73.87480600000001 40.895726, -73.87241 40.896241, -73.870487 40.89664, -73.870069 40.896591, -73.866917 40.896083, -73.86491700000001 40.89575, -73.864017 40.895523, -73.863559 40.895377, -73.863293 40.89529)))",19.1720146257,10467
1,111,"MULTIPOLYGON (((-73.931681 40.807955, -73.931704 40.807979, -73.931848 40.808624, -73.932503 40.811556, -73.932106 40.813579, -73.932267 40.813901, -73.932305 40.813976, -73.932406 40.814179, -73.93219999999999 40.814582, -73.93219499999999 40.814634, -73.93212 40.814881, -73.932101 40.81498, -73.932106 40.819347, -73.93210500000001 40.81944, -73.93211599999999 40.819616, -73.93220599999999 40.821079, -73.932249 40.821208, -73.932306 40.821379, -73.932305 40.821432, -73.93230200000001 40.822209, -73.93235799999999 40.822539, -73.932405 40.822779, -73.932406 40.823151, -73.932405 40.823182, -73.93233600000001 40.823453, -73.932303 40.823571, -73.932497 40.82414, -73.932542 40.824381, -73.932568 40.82452, -73.932693 40.825119, -73.932706 40.825179, -73.93267899999999 40.825261, -73.932652 40.825343, -73.93263399999999 40.825397, -73.932616 40.825452, -73.932528 40.825703, -73.93250399999999 40.825782, -73.932506 40.826, -73.932531 40.826104, -73.932531 40.826607, -73.932506 40.827779, -73.93257800000001 40.827827, -73.932573 40.827846, -73.932636 40.827908, -73.932941 40.828213, -73.93300600000001 40.828279, -73.933042 40.828651, -73.93306800000001 40.82892, -73.932851 40.828979, -73.93290500000001 40.829029, -73.933041 40.829152, -73.932548 40.829263, -73.93249 40.829277, -73.932096 40.829342, -73.93177300000001 40.829396, -73.93150799999999 40.829397, -73.93114199999999 40.829438, -73.930897 40.829466, -73.930682 40.829438, -73.92875600000001 40.829186, -73.927133 40.828211, -73.925927 40.827812, -73.924944 40.827511, -73.924047 40.827244, -73.92241300000001 40.830053, -73.92186599999999 40.829865, -73.921171 40.829628, -73.920461 40.830915, -73.919467 40.830538, -73.919313 40.829702, -73.919642 40.829114, -73.92020100000001 40.8281, -73.919336 40.827825, -73.918468 40.827547, -73.91779699999999 40.828759, -73.916906 40.828389, -73.917222 40.827809, -73.91753300000001 40.82725, -73.916235 40.826842, -73.915316 40.826546, -73.91476 40.827556, -73.913631 40.826924, -73.91216900000001 40.827902, -73.912032 40.827861, -73.911948 40.827836, -73.91186500000001 40.82781, -73.911669 40.827965, -73.91054099999999 40.82886, -73.910307 40.828773, -73.911694 40.827759, -73.911794 40.826428, -73.91131 40.824849, -73.91084499999999 40.824213, -73.91057000000001 40.824648, -73.909918 40.825849, -73.90821200000001 40.825314, -73.908461 40.824624, -73.908709 40.824067, -73.909111 40.823376, -73.90924099999999 40.823141, -73.909497 40.822438, -73.910044 40.822546, -73.91070000000001 40.822324, -73.911179 40.821495, -73.909909 40.821241, -73.91016399999999 40.820482, -73.911546 40.820859, -73.91168 40.820625, -73.91257 40.820861, -73.91355299999999 40.821169, -73.913963 40.820394, -73.915609 40.820823, -73.917417 40.821277, -73.917691 40.820691, -73.91771300000001 40.820647, -73.91801100000001 40.819995, -73.918032 40.819946, -73.91827600000001 40.819378, -73.91857 40.818691, -73.918899 40.817967, -73.917119 40.817512, -73.91746000000001 40.816761, -73.91923800000001 40.81722, -73.919545 40.816555, -73.91986 40.815865, -73.920349 40.814629, -73.92048200000001 40.814564, -73.921211 40.814174, -73.922088 40.813731, -73.922875 40.813315, -73.923829 40.812824, -73.924683 40.812384, -73.92555299999999 40.811941, -73.92644300000001 40.811507, -73.926697 40.811718, -73.927121 40.810949, -73.927673 40.810235, -73.927773 40.810108, -73.928014 40.810486, -73.92880599999999 40.809899, -73.929219 40.809564, -73.929418 40.809401, -73.929508 40.809329, -73.930108 40.808877, -73.930938 40.808253, -73.931606 40.807983, -73.931681 40.807955)))",7.91418456184,10451
2,123,"MULTIPOLYGON (((-73.897516 40.856183, -73.89653300000001 40.855784, -73.896479 40.855763, -73.896007 40.855596, -73.89558100000001 40.856246, -73.89477599999999 40.85593, -73.894617 40.855864, -73.89443199999999 40.855786, -73.893136 40.855244, -73.8925 40.854975, -73.891801 40.854611, -73.890902 40.854117, -73.890389 40.854689, -73.89003 40.854221, -73.889607 40.853238, -73.888912 40.852979, -73.88807300000001 40.852734, -73.88723 40.852488, -73.888032 40.850997, -73.887518 40.850949, -73.88693000000001 40.85115, -73.88638400000001 40.852243, -73.885543 40.851998, -73.884715 40.851759, -73.88382 40.851499, -73.884199 40.850705, -73.884478 40.850044, -73.88480199999999 40.849309, -73.886017 40.847878, -73.886697 40.847082, -73.885603 40.846543, -73.885608 40.846457, -73.886746 40.845204, -73.88723299999999 40.844636, -73.888319 40.845179, -73.889017 40.84437, -73.88955199999999 40.843771, -73.89003599999999 40.843195, -73.89038600000001 40.842873, -73.890444 40.842808, -73.890511 40.842657, -73.891502 40.841699, -73.892169 40.84105, -73.893171 40.841638, -73.89410100000001 40.84219, -73.897728 40.836481, -73.898758 40.836448, -73.899968 40.837655, -73.900567 40.836592, -73.901126 40.836814, -73.901967 40.837172, -73.90333800000001 40.837642, -73.904509 40.838018, -73.904842 40.838156, -73.90522900000001 40.838265, -73.905979 40.838505, -73.905383 40.839769, -73.904155 40.84197, -73.90503200000001 40.842263, -73.905 40.842535, -73.906002 40.842629, -73.906846 40.842668, -73.90774399999999 40.842703, -73.90865700000001 40.84272, -73.90956300000001 40.8429, -73.90939400000001 40.841254, -73.90911699999999 40.840171, -73.909063 40.839947, -73.908986 40.839162, -73.90891000000001 40.838376, -73.909458 40.837057, -73.910595 40.837503, -73.909882 40.838709, -73.910724 40.838998, -73.91139 40.837866, -73.912265 40.838198, -73.91270799999999 40.83836, -73.91207900000001 40.839453, -73.91313700000001 40.839814, -73.91269800000001 40.84093, -73.91247199999999 40.841616, -73.91222500000001 40.842335, -73.91194900000001 40.843204, -73.911703 40.8439, -73.91132 40.844783, -73.91104900000001 40.845143, -73.910743 40.845459, -73.911439 40.845873, -73.910647 40.84698, -73.909462 40.846401, -73.908755 40.846884, -73.908632 40.846965, -73.90811600000001 40.847276, -73.907408 40.847788, -73.906767 40.848541, -73.906059 40.849321, -73.90594900000001 40.849451, -73.90562 40.849925, -73.90513300000001 40.85053, -73.904674 40.851101, -73.90422100000001 40.851662, -73.903837 40.852261, -73.90368100000001 40.852389, -73.90271799999999 40.853522, -73.90186 40.854586, -73.900852 40.855937, -73.900779 40.856047, -73.89994900000001 40.85742, -73.899067 40.857119, -73.898172 40.856812, -73.897307 40.85651, -73.897516 40.856183)))",5.0171985268,10457
3,125,"MULTIPOLYGON (((-73.82612399999999 40.834214, -73.826013 40.834021, -73.826801 40.833633, -73.82818899999999 40.832951, -73.828987 40.832474, -73.82971000000001 40.832011, -73.829971 40.831849, -73.830033 40.832072, -73.830129 40.832255, -73.829311 40.832768, -73.828356 40.833284, -73.828636 40.833721, -73.829071 40.834252, -73.829921 40.834757, -73.830743 40.83496, -73.83224 40.83527, -73.832359 40.835151, -73.832729 40.835015, -73.83330599999999 40.834791, -73.833885 40.83455, -73.834186 40.834417, -73.834389 40.834327, -73.834812 40.83413, -73.835311 40.833886, -73.83638999999999 40.835837, -73.837234 40.835575, -73.83770800000001 40.835358, -73.838549 40.835026, -73.838582 40.835897, -73.838571 40.836356, -73.838521 40.838385, -73.83861899999999 40.839121, -73.838391 40.840677, -73.838808 40.840767, -73.839364 40.840878, -73.839567 40.840547, -73.839647 40.835568, -73.839589 40.833496, -73.842279 40.831267, -73.842592 40.829019, -73.84261600000001 40.828942, -73.842641 40.828866, -73.84264400000001 40.828757, -73.842648 40.828649, -73.842752 40.828614, -73.84284 40.828712, -73.842929 40.828809, -73.84303199999999 40.828925, -73.843309 40.829183, -73.843037 40.829947, -73.844247 40.829874, -73.844415 40.830599, -73.844577 40.831302, -73.844206 40.831339, -73.84204 40.833123, -73.841717 40.833401, -73.84098 40.834009, -73.839955 40.834901, -73.840028 40.835663, -73.84218199999999 40.835374, -73.843704 40.835167, -73.845427 40.834937, -73.845592 40.835651, -73.845905 40.836273, -73.846678 40.836794, -73.847589 40.83741, -73.84649 40.838348, -73.847437 40.838979, -73.848491 40.838026, -73.849164 40.838488, -73.849373 40.838633, -73.84984 40.838958, -73.850041 40.839094, -73.85047900000001 40.839401, -73.851074 40.839811, -73.851722 40.840267, -73.85223499999999 40.840617, -73.85290000000001 40.841072, -73.853095 40.841047, -73.853335 40.84247, -73.854299 40.842671, -73.85521 40.842975, -73.852037 40.843769, -73.852057 40.844105, -73.85221 40.844264, -73.852998 40.845293, -73.85444699999999 40.847146, -73.855468 40.848458, -73.857001 40.850416, -73.858512 40.852352, -73.859486 40.853595, -73.8601 40.854656, -73.86023 40.854936, -73.860986 40.856476, -73.86097100000001 40.856807, -73.86192 40.856783, -73.861784 40.857386, -73.861791 40.857983, -73.856638 40.858119, -73.856165 40.858151, -73.855907 40.858168, -73.855964 40.857572, -73.849495 40.858164, -73.843541 40.85773, -73.838021 40.856944, -73.83684100000001 40.856878, -73.83532599999999 40.856656, -73.835015 40.85657, -73.83441000000001 40.856429, -73.833281 40.857027, -73.83143200000001 40.857287, -73.831992 40.856991, -73.832531 40.856585, -73.832701 40.856362, -73.83293500000001 40.856053, -73.832308 40.85576, -73.83129099999999 40.855434, -73.830567 40.855512, -73.829566 40.855621, -73.82908399999999 40.855676, -73.828602 40.855718, -73.828014 40.854723, -73.827218 40.853251, -73.826657 40.853343, -73.826472 40.853048, -73.82638900000001 40.853172, -73.82635399999999 40.853385, -73.826228 40.854704, -73.826099 40.855091, -73.826007 40.853819, -73.82605100000001 40.853568, -73.826156 40.853172, -73.826216 40.853035, -73.826268 40.852915, -73.826522 40.851622, -73.826892 40.848849, -73.82684500000001 40.848647, -73.826775 40.848407, -73.826689 40.848171, -73.826576 40.847913, -73.82643299999999 40.847638, -73.826269 40.847371, -73.826127 40.847123, -73.825884 40.846669, -73.825681 40.846255, -73.82549299999999 40.845837, -73.82558299999999 40.84578, -73.82586499999999 40.845613, -73.825805 40.845398, -73.825568 40.842817, -73.825503 40.840868, -73.825485 40.839697, -73.82577499999999 40.838127, -73.825254 40.836661, -73.825194 40.835225, -73.82612399999999 40.834214)))",18.10225753,10461
4,195,"MULTIPOLYGON (((-73.942503 40.638965, -73.943986 40.638872, -73.944845 40.638819, -73.945373 40.638787, -73.946449 40.63872, -73.947152 40.638676, -73.94826500000001 40.638607, -73.948414 40.639987, -73.94744300000001 40.640048, -73.94754500000001 40.641005, -73.946611 40.641064, -73.94562500000001 40.641126, -73.945869 40.643424, -73.945988 40.644534, -73.946073 40.645312, -73.947059 40.64525, -73.94724100000001 40.646964, -73.947467 40.649039, -73.946479 40.6491, -73.946674 40.650948, -73.946776 40.651854, -73.946873 40.652796, -73.94703199999999 40.654339, -73.947159 40.655594, -73.947264 40.656437, -73.947354 40.65728, -73.947433 40.658031, -73.94752200000001 40.658876, -73.94760100000001 40.659586, -73.945336 40.659718, -73.945413 40.660437, -73.942611 40.66061, -73.942688 40.661321, -73.942767 40.66206, -73.942829 40.662847, -73.940029 40.663021, -73.937264 40.663192, -73.93455299999999 40.663362, -73.934375 40.663373, -73.931607 40.663557, -73.931579 40.66323, -73.931077 40.662789, -73.93046200000001 40.662217, -73.92943200000001 40.661295, -73.92938700000001 40.660715, -73.92882299999999 40.660745, -73.92819299999999 40.660177, -73.927255 40.659338, -73.927201 40.658537, -73.926412 40.658587, -73.92624000000001 40.658419, -73.92540700000001 40.65768, -73.92519299999999 40.657488, -73.925141 40.65698, -73.924654 40.657007, -73.924077 40.656484, -73.923599 40.656053, -73.923305 40.655802, -73.922889 40.655421, -73.921988 40.654614, -73.92177599999999 40.654424, -73.921379 40.654433, -73.92087600000001 40.653608, -73.920773 40.652554, -73.919962 40.652789, -73.920208 40.652596, -73.92074599999999 40.652271, -73.92062199999999 40.651098, -73.920581 40.650707, -73.920467 40.649654, -73.92037500000001 40.648779, -73.920359 40.648597, -73.920185 40.64703, -73.920179 40.646927, -73.920098 40.646177, -73.91997600000001 40.64503, -73.919951 40.644707, -73.91990699999999 40.64433, -73.919729 40.642725, -73.921609 40.641687, -73.922207 40.641065, -73.923327 40.6399, -73.92608199999999 40.638163, -73.926033 40.638543, -73.926968 40.638049, -73.927854 40.63759, -73.928032 40.637517, -73.92885699999999 40.637457, -73.928821 40.637127, -73.928781 40.636758, -73.93158 40.635391, -73.93153100000001 40.635006, -73.93223500000001 40.634963, -73.9325 40.634947, -73.93342699999999 40.634884, -73.93439499999999 40.634827, -73.93536 40.634767, -73.935607 40.637038, -73.936542 40.63698, -73.937512 40.636921, -73.93848 40.636862, -73.938731 40.6392, -73.93966399999999 40.639142, -73.940597 40.639083, -73.94153300000001 40.639025, -73.942503 40.638965)))",2.21284022845,11203
